"","x","y","z","omega","katsse","akev","possture"
"0","1164","-413","268","3.191775","0","0","sits down"
"1","1198","-505","260","44.07706","0","0","walk"
"2","1171","-424","287","11.115318","0","0","sits down"
"3","1169","-417","295","0.947223","0","0","sits down"
"4","1171","-418","295","0.33001","0","0","sits down"
"5","1167","-416","295","0.415458","0","0","sits down"
"6","1169","-418","295","0","0","0","sits down"
"7","1169","-418","295","0","0","0","sits down"
"8","1167","-416","295","0","0","0","sits down"
"9","1166","-417","295","0.775602","0","0","sits down"
"10","1164","-433","312","0","0","0","sits down"
"11","1176","-420","300","1.118196","0","0","sits down"
"12","1167","-436","288","1.643832","0","0","sits down"
"13","1159","-431","291","0.305156","0","0","sits down"
"14","1164","-434","288","0","0","0","sits down"
"15","1161","-431","284","0.127024","0","0","sits down"
"16","1164","-433","295","0.17535","0","0","sits down"
"17","1168","-441","291","0.39394","0","0","sits down"
"18","1167","-433","294","0","0","0","sits down"
"19","1167","-433","295","1.025747","0","0","sits down"
"20","1164","-431","295","0","0","0","sits down"
"21","1166","-436","296","1.089487","0","0","sits down"
"22","1167","-436","300","0","0","0","sits down"
"23","1171","-426","304","0.931073","0","0","sits down"
"24","1171","-416","286","0","0","0","sits down"
"25","1167","-424","295","0.997134","0","0","sits down"
"26","1167","-429","295","1.383203","0","0","sits down"
"27","1167","-429","296","1.770182","0","0","sits down"
"28","1164","-416","287","0","0","0","sits down"
"29","1168","-423","288","0","0","0","sits down"
"30","1167","-424","291","0","0","0","sits down"
"31","1176","-429","291","0","0","0","sits down"
"32","1167","-420","289","0","0","0","sits down"
"33","1167","-418","291","0.501271","0","0","sits down"
"34","1167","-420","291","1.790491","0","0","sits down"
"35","1171","-424","289","0","0","0","sits down"
"36","1164","-424","292","0.609698","0","0","sits down"
"37","1164","-420","291","0","0","0","sits down"
"38","1169","-425","291","0","0","0","sits down"
"39","1167","-425","287","0.577048","0","0","sits down"
"40","1168","-420","284","0","0","0","sits down"
"41","1169","-424","287","0.262194","0","0","sits down"
"42","1168","-424","287","0.296765","0","0","sits down"
"43","1169","-424","294","0","0","0","sits down"
"44","1167","-424","291","0","0","0","sits down"
"45","1167","-423","291","0","0","0","sits down"
"46","1168","-424","295","0","0","0","sits down"
"47","1169","-424","288","0","0","0","sits down"
